SKU,Product Title,Element Symbol,Element Name,Atomic Number,Collection Type,Retail Price,Current Stock,Status,Available for Subscription,Tags,Notes
Fe2x2_amp,Iron 50mm Lucite Cube,Fe,Iron,26.0,Lucite 50mm,99.0,0.0,Draft,No,"class:common, form:lucite, purity:none, size:large",Out of stock; Draft
Pt2x2_bar,Platinum 50mm Lucite Cube,Pt,Platinum,78.0,Lucite 50mm,125.0,0.0,Active,No,"class:precious, form:lucite, purity:none, size:large",Precious metal - exclude from normal assignment; Out of stock
P50mm_blk,Phosphorus (Black) 50mm Lucite Cube,P,Phosphorus,15.0,Lucite 50mm,200.0,0.0,Draft,No,"class:common, form:lucite, purity:none, size:large",Out of stock; Draft
Fe2x2_2,Iron 50mm Lucite Cube,Fe,Iron,26.0,Lucite 50mm,,0.0,Active,No,"class:common, form:lucite, purity:none, size:large",Out of stock
B2x2,Boron 50mm Lucite Cube,B,Boron,5.0,Lucite 50mm,95.0,6.0,Active,Yes,"class:common, form:lucite, purity:none, size:large",
Sn2x2_cry,Tin 50mm Lucite Cube,Sn,Tin,50.0,Lucite 50mm,115.0,4.0,Active,Yes,"class:common, form:lucite, purity:none, size:large",
Sr100mg_amp,Strontium 99.9%,Sr,Strontium,38.0,Ampoule,15.0,0.0,Active,No,"ampules, class:reactive, purity:3N, size:small",Out of stock
Sr15x60mm,Strontium 99.9%,Sr,Strontium,38.0,Other,66.0,7.0,Active,Yes,"ampules, class:reactive, purity:3N, size:small",
Nd100mg_amp,Neodymium 99.9%,Nd,Neodymium,60.0,Ampoule,14.0,0.0,Active,No,"ampules, class:exotic, purity:3N, size:small",Out of stock
Nd15x60mm,Neodymium 99.9%,Nd,Neodymium,60.0,Other,55.0,5.0,Active,Yes,"ampules, class:exotic, purity:3N, size:small",
Nd20g_amp,Neodymium 99.9%,Nd,Neodymium,60.0,Ampoule,79.0,2.0,Active,Yes,"ampules, class:exotic, purity:3N, size:small",
Y15x60mm,Yttrium 99.9% 5 grams,Y,Yttrium,39.0,Other,10.0,0.0,Active,No,"ampules, class:mid, purity:3N, size:small",Out of stock
Zn15x60mm,Zinc 99.99% 5 grams,Zn,Zinc,30.0,Other,17.0,24.0,Active,Yes,"ampules, class:common, purity:4N, size:small",
Te15x60mm,Tellurium 99.99% 5 grams,Te,Tellurium,52.0,Other,10.0,0.0,Active,No,"ampules, class:mid, purity:4N, size:small",Out of stock
Hf15x60mm,Hafnium 99.95% 25 grams,Hf,Hafnium,72.0,Other,237.0,3.0,Active,Yes,"ampules, class:mid, purity:3N, size:small",
Pt15x60mm,Platinum 99.95% 5 grams,Pt,Platinum,78.0,Other,250.0,0.0,Active,No,"ampules, class:precious, purity:3N, size:small",Precious metal - exclude from normal assignment; Out of stock
Sm1g_amp,Samarium 99.9% 10 grams,Sm,Samarium,62.0,Ampoule,10.0,0.0,Active,No,"ampules, class:exotic, purity:3N, size:small",Out of stock
Sm15x60mm,Samarium 99.9% 10 grams,Sm,Samarium,62.0,Other,20.0,3.0,Active,Yes,"ampules, class:exotic, purity:3N, size:small",
Ti15x60mm,Titanium 99.99% 10 grams,Ti,Titanium,22.0,Other,8.5,1.0,Active,Yes,"ampules, class:mid, purity:4N, size:small",
Yb15x60mm,Ytterbium 99.95% 5 grams,Yb,Ytterbium,70.0,Other,10.0,0.0,Active,No,"ampules, class:exotic, purity:3N, size:small",Out of stock
Tb15x60mm,Terbium 99.9% 10 grams,Tb,Terbium,65.0,Other,100.0,7.0,Active,Yes,"ampules, class:exotic, purity:3N, size:small",
Eu7x25_amp,Europium 99.95%,Eu,Europium,63.0,Ampoule,22.0,3.0,Active,Yes,"ampules, class:exotic, purity:3N, size:small",
Eu15x60mm,Europium 99.95%,Eu,Europium,63.0,Other,60.0,11.0,Active,Yes,"ampules, class:exotic, purity:3N, size:small",
Eu20g_amp,Europium 99.95%,Eu,Europium,63.0,Ampoule,125.0,0.0,Active,No,"ampules, class:exotic, purity:3N, size:small",Out of stock
Ga2g_rb,Gallium 99.99% 2 grams,Ga,Gallium,31.0,Other,62.0,0.0,Active,No,"ampules, class:mid, purity:4N, size:small",Out of stock
Ga15x60mm,Gallium 99.99% 2 grams,Ga,Gallium,31.0,Other,50.0,3.0,Active,Yes,"ampules, class:mid, purity:4N, size:small",
Tm15x60mm,Thulium 99.95% 5 grams,Tm,Thulium,69.0,Other,33.0,2.0,Active,Yes,"ampules, class:exotic, purity:3N, size:small",
Li15x60mm,Lithium 99.9% 1 gram,Li,Lithium,3.0,Other,36.5,46.0,Active,Yes,"ampules, class:reactive, purity:3N, size:small",
Zr15x60mm,Zirconium 99.9% 10 grams,Zr,Zirconium,40.0,Other,8.5,5.0,Active,Yes,"ampules, class:mid, purity:3N, size:small",
Mo15x60mm,Molybdenum 99.9% 10 grams,Mo,Molybdenum,42.0,Other,10.0,9.0,Active,Yes,"ampules, class:mid, purity:3N, size:small",
Ba_FBB,Barium 99.99% crystals,Ba,Barium,56.0,Other (Bar/Ingot),18.0,0.0,Active,No,"ampules, class:reactive, form:crystal, purity:4N, size:micro, size:small",Out of stock
Ba15x60mm_3g,Barium 99.99% crystals,Ba,Barium,56.0,Other (Bar/Ingot),59.0,3.0,Active,Yes,"ampules, class:reactive, form:crystal, purity:4N, size:micro, size:small",
Cl15x60mm,Chlorine 99.9%,Cl,Chlorine,17.0,Other,26.0,11.0,Active,Yes,"ampules, class:exotic, purity:3N, size:small",
As15x60mm,Arsenic 99.9999% 5 grams,As,Arsenic,33.0,Other,59.0,6.0,Active,Yes,"ampules, class:mid, purity:6N, size:small",
As20g_amp,Arsenic 99.9999% 5 grams,As,Arsenic,33.0,Ampoule,200.0,1.0,Active,Yes,"ampules, class:mid, purity:6N, size:small",
Ca3g_amp,Calcium 99.99% crystals 3 grams,Ca,Calcium,20.0,Ampoule,62.0,0.0,Draft,No,"class:reactive, form:crystal, purity:4N, size:small",Out of stock; Draft
Ar15x60mm,Gas Ampules (99.99%),Ar,Argon,18.0,Ampoule,18.0,0.0,Active,No,"ampules, class:exotic, form:ampoule, purity:4N, size:small",Out of stock
F15x60mm,Gas Ampules (99.99%),F,Fluorine,9.0,Ampoule,40.0,24.0,Active,Yes,"ampules, class:exotic, form:ampoule, purity:4N, size:small",
He15x60mm,Gas Ampules (99.99%),He,Helium,2.0,Ampoule,18.0,0.0,Active,No,"ampules, class:exotic, form:ampoule, purity:4N, size:small",Out of stock
H15x60mm,Gas Ampules (99.99%),H,Hydrogen,1.0,Ampoule,18.0,0.0,Active,No,"ampules, class:exotic, form:ampoule, purity:4N, size:small",Out of stock
Kr15x60mm,Gas Ampules (99.99%),Kr,Krypton,36.0,Ampoule,20.0,0.0,Active,No,"ampules, class:exotic, form:ampoule, purity:4N, size:small",Out of stock
Ne15x60mm,Gas Ampules (99.99%),Ne,Neon,10.0,Ampoule,18.0,0.0,Active,No,"ampules, class:exotic, form:ampoule, purity:4N, size:small",Out of stock
N15x60mm,Gas Ampules (99.99%),N,Nitrogen,7.0,Ampoule,18.0,9.0,Active,Yes,"ampules, class:exotic, form:ampoule, purity:4N, size:small",
O15x60mm,Gas Ampules (99.99%),O,Oxygen,8.0,Ampoule,18.0,18.0,Active,Yes,"ampules, class:exotic, form:ampoule, purity:4N, size:small",
Xe15x60mm,Gas Ampules (99.99%),Xe,Xenon,54.0,Ampoule,20.0,31.0,Active,Yes,"ampules, class:exotic, form:ampoule, purity:4N, size:small",
U15x60mm,Uranium 99.9% 1 gram,U,Uranium,92.0,Other,100.0,0.0,Active,No,"ampules, class:exotic, purity:3N, size:small",Out of stock
