SKU,Product Title,Element Symbol,Element Name,Atomic Number,Collection Type,Retail Price,Current Stock,Status,Available for Subscription,Tags,Notes
Mg100g,Magnesium metal 99.9%,Mg,Magnesium,12.0,Other (Bulk/Bottle),59.5,2.0,Active,Yes,"class:common, elements, purity:3N, size:micro",
Mg1k,Magnesium metal 99.9%,Mg,Magnesium,12.0,Other (Bulk),149.0,1.0,Active,Yes,"class:common, elements, purity:3N, size:micro",
Pb1g_bot,Lead metal 99.99%,Pb,Lead,82.0,Other (Bulk/Bottle),3.5,6.0,Active,Yes,"class:common, elements, purity:4N, size:micro",
Pb10g,Lead metal 99.99%,Pb,Lead,82.0,Other (Bulk/Bottle),7.0,1.0,Active,Yes,"class:common, elements, purity:4N, size:micro",
Pb100g,Lead metal 99.99%,Pb,Lead,82.0,Other (Bulk/Bottle),19.0,7.0,Active,Yes,"class:common, elements, purity:4N, size:micro",
Pb1k,Lead metal 99.99%,Pb,Lead,82.0,Other (Bulk),157.5,4.0,Active,Yes,"class:common, elements, purity:4N, size:micro",
Na1g_bot,Sodium metal 99.7%,Na,Sodium,11.0,Other (Bulk/Bottle),10.5,0.0,Active,No,"class:reactive, elements, purity:none, size:small",Out of stock
Na7x25mm,Sodium metal 99.7%,Na,Sodium,11.0,Other,12.5,0.0,Active,No,"class:reactive, elements, purity:none, size:small",Out of stock
Na_FBB,Sodium metal 99.7%,Na,Sodium,11.0,Other,22.5,13.0,Active,Yes,"class:reactive, elements, purity:none, size:small",
Na10g,Sodium metal 99.7%,Na,Sodium,11.0,Other (Bulk/Bottle),8.25,0.0,Active,No,"class:reactive, elements, purity:none, size:small",Out of stock
Mo1g_bot,Molybdenum metal 99.95%,Mo,Molybdenum,42.0,Other (Bulk/Bottle),1.5,10.0,Active,Yes,"class:mid, elements, purity:3N, size:micro",
Mo_disc,Molybdenum metal 99.95%,Mo,Molybdenum,42.0,Other,7.5,0.0,Active,No,"class:mid, elements, purity:3N, size:micro",Out of stock
Mo10g,Molybdenum metal 99.95%,Mo,Molybdenum,42.0,Other (Bulk/Bottle),4.25,10.0,Active,Yes,"class:mid, elements, purity:3N, size:micro",
Mo100g,Molybdenum metal 99.95%,Mo,Molybdenum,42.0,Other (Bulk/Bottle),25.0,6.0,Active,Yes,"class:mid, elements, purity:3N, size:micro",
Mo_plate,Molybdenum metal 99.95%,Mo,Molybdenum,42.0,Other,27.0,0.0,Active,No,"class:mid, elements, purity:3N, size:micro",Out of stock
Mo1k,Molybdenum metal 99.95%,Mo,Molybdenum,42.0,Other (Bulk),155.0,1.0,Active,Yes,"class:mid, elements, purity:3N, size:micro",
Zr1g_bot,Zirconium metal 99.2%,Zr,Zirconium,40.0,Other (Bulk/Bottle),1.75,0.0,Active,No,"class:mid, elements, purity:none, size:micro",Out of stock
Zr10g,Zirconium metal 99.2%,Zr,Zirconium,40.0,Other (Bulk/Bottle),5.25,3.0,Active,Yes,"class:mid, elements, purity:none, size:micro",
Zr100g,Zirconium metal 99.2%,Zr,Zirconium,40.0,Other (Bulk/Bottle),25.0,1.0,Active,Yes,"class:mid, elements, purity:none, size:micro",
Zr1k,Zirconium metal 99.2%,Zr,Zirconium,40.0,Other (Bulk),220.0,0.0,Active,No,"class:mid, elements, purity:none, size:micro",Out of stock
V1g_bot,Vanadium metal 99.95%,V,Vanadium,23.0,Other (Bulk/Bottle),3.0,17.0,Active,Yes,"class:mid, elements, purity:3N, size:micro",
V_cry,Vanadium metal 99.95%,V,Vanadium,23.0,Other,10.0,0.0,Active,No,"class:mid, elements, purity:3N, size:micro",Out of stock
V10g,Vanadium metal 99.95%,V,Vanadium,23.0,Other (Bulk/Bottle),9.0,0.0,Active,No,"class:mid, elements, purity:3N, size:micro",Out of stock
V100g,Vanadium metal 99.95%,V,Vanadium,23.0,Other (Bulk/Bottle),75.0,5.0,Active,Yes,"class:mid, elements, purity:3N, size:micro",
V1k,Vanadium metal 99.95%,V,Vanadium,23.0,Other (Bulk),680.0,1.0,Active,Yes,"class:mid, elements, purity:3N, size:micro",
Ru0.1g_bot,Ruthenium metal 99.99%,Ru,Ruthenium,44.0,Other (Bulk/Bottle),10.0,0.0,Active,No,"class:precious, elements, purity:4N, size:micro",Precious metal - exclude from normal assignment; Out of stock
Ru10.1mm_0.1g,Ruthenium metal 99.99%,Ru,Ruthenium,44.0,10mm Cube,11.0,0.0,Active,No,"class:precious, elements, purity:4N, size:micro",Precious metal - exclude from normal assignment; Out of stock
Ru1g_bot,Ruthenium metal 99.99%,Ru,Ruthenium,44.0,Other (Bulk/Bottle),100.0,0.0,Active,No,"class:precious, elements, purity:4N, size:micro",Precious metal - exclude from normal assignment; Out of stock
Ru1g_bead,Ruthenium metal 99.99%,Ru,Ruthenium,44.0,Other (Bulk/Bottle),85.0,0.0,Active,No,"class:precious, elements, purity:4N, size:micro",Precious metal - exclude from normal assignment; Out of stock
K1g_bot,Potassium metal 99%,K,Potassium,19.0,Other (Bulk/Bottle),7.2,0.0,Active,No,"class:reactive, elements, purity:none, size:micro",Out of stock
K7x25mm,Potassium metal 99%,K,Potassium,19.0,Other,12.5,0.0,Active,No,"class:reactive, elements, purity:none, size:micro",Out of stock
K_FBB,Potassium metal 99%,K,Potassium,19.0,Other,20.0,0.0,Active,No,"class:reactive, elements, purity:none, size:micro",Out of stock
K10g,Potassium metal 99%,K,Potassium,19.0,Other (Bulk/Bottle),20.0,0.0,Active,No,"class:reactive, elements, purity:none, size:micro",Out of stock
Co1g_bot,Cobalt metal 99.95%,Co,Cobalt,27.0,Other (Bulk/Bottle),4.5,0.0,Active,No,"class:mid, elements, purity:3N, size:micro",Out of stock
Co10g,Cobalt metal 99.95%,Co,Cobalt,27.0,Other (Bulk/Bottle),8.5,6.0,Active,Yes,"class:mid, elements, purity:3N, size:micro",
Co100g,Cobalt metal 99.95%,Co,Cobalt,27.0,Other (Bulk/Bottle),45.0,2.0,Active,Yes,"class:mid, elements, purity:3N, size:micro",
Co1k,Cobalt metal 99.95%,Co,Cobalt,27.0,Other (Bulk),405.0,2.0,Active,Yes,"class:mid, elements, purity:3N, size:micro",
S1g_bot,Sulfur 99.9%,S,Sulfur,16.0,Other (Bulk/Bottle),6.25,14.0,Active,Yes,"class:common, elements, purity:3N, size:micro",
S10g,Sulfur 99.9%,S,Sulfur,16.0,Other (Bulk/Bottle),14.75,0.0,Active,No,"class:common, elements, purity:3N, size:micro",Out of stock
S100g,Sulfur 99.9%,S,Sulfur,16.0,Other (Bulk/Bottle),28.5,0.0,Active,No,"class:common, elements, purity:3N, size:micro",Out of stock
S1k,Sulfur 99.9%,S,Sulfur,16.0,Other (Bulk),60.0,0.0,Active,No,"class:common, elements, purity:3N, size:micro",Out of stock
I_FBB,Iodine crystals 99.8%,I,Iodine,53.0,Other (Sample),15.0,38.0,Active,Yes,"ampules, class:exotic, form:crystal, purity:none, size:micro",
I_15x60mm,Iodine crystals 99.8%,I,Iodine,53.0,Other (Sample),32.0,0.0,Active,No,"ampules, class:exotic, form:crystal, purity:none, size:micro",Out of stock
In1g_bot,Indium metal 99.995%,In,Indium,49.0,Other (Bulk/Bottle),3.5,1.0,Active,Yes,"class:mid, elements, purity:4N, size:micro",
In10g,Indium metal 99.995%,In,Indium,49.0,Other (Bulk/Bottle),22.0,6.0,Active,Yes,"class:mid, elements, purity:4N, size:micro",
In100g,Indium metal 99.995%,In,Indium,49.0,Other (Bulk/Bottle),142.0,5.0,Active,Yes,"class:mid, elements, purity:4N, size:micro",
In1k,Indium metal 99.995%,In,Indium,49.0,Other (Bulk),1115.5,6.0,Active,Yes,"class:mid, elements, purity:4N, size:micro",
Cr1g_bot,Chromium metal 99.5%,Cr,Chromium,24.0,Other (Bulk/Bottle),1.5,0.0,Active,No,"class:mid, elements, purity:none, size:micro",Out of stock
Cr10g,Chromium metal 99.5%,Cr,Chromium,24.0,Other (Bulk/Bottle),3.0,0.0,Active,No,"class:mid, elements, purity:none, size:micro",Out of stock
Cr100g,Chromium metal 99.5%,Cr,Chromium,24.0,Other (Bulk/Bottle),9.25,0.0,Active,No,"class:mid, elements, purity:none, size:micro",Out of stock
Cr1k,Chromium metal 99.5%,Cr,Chromium,24.0,Other (Bulk),54.0,0.0,Active,No,"class:mid, elements, purity:none, size:micro",Out of stock
Os0.1_bot,Osmium metal 99.95%,Os,Osmium,76.0,Other,5.0,0.0,Active,No,"class:precious, elements, purity:3N, size:standard",Precious metal - exclude from normal assignment; Out of stock
Os1g_bot,Osmium metal 99.95%,Os,Osmium,76.0,Other (Bulk/Bottle),45.0,0.0,Active,No,"class:precious, elements, purity:3N, size:standard",Precious metal - exclude from normal assignment; Out of stock
Os1g_bead,Osmium metal 99.95%,Os,Osmium,76.0,Other (Bulk/Bottle),75.0,0.0,Active,No,"class:precious, elements, purity:3N, size:standard",Precious metal - exclude from normal assignment; Out of stock
Os10g_bead,Osmium metal 99.95%,Os,Osmium,76.0,Other (Bulk/Bottle),420.0,0.0,Active,No,"class:precious, elements, purity:3N, size:standard",Precious metal - exclude from normal assignment; Out of stock
Os100g_bead,Osmium metal 99.95%,Os,Osmium,76.0,Other (Bulk/Bottle),3800.0,0.0,Active,No,"class:precious, elements, purity:3N, size:standard",Precious metal - exclude from normal assignment; Out of stock
Hf1g_bot,Hafnium metal 99.4%,Hf,Hafnium,72.0,Other (Bulk/Bottle),8.0,0.0,Active,No,"class:mid, elements, purity:none, size:micro",Out of stock
Hf10g,Hafnium metal 99.4%,Hf,Hafnium,72.0,Other (Bulk/Bottle),75.0,3.0,Active,Yes,"class:mid, elements, purity:none, size:micro",
Hf100g,Hafnium metal 99.4%,Hf,Hafnium,72.0,Other (Bulk/Bottle),700.0,0.0,Active,No,"class:mid, elements, purity:none, size:micro",Out of stock
Hf1k,Hafnium metal 99.4%,Hf,Hafnium,72.0,Other (Bulk),8300.0,0.0,Active,No,"class:mid, elements, purity:none, size:micro",Out of stock
Au0.1g_bot,Gold metal 99.99%,Au,Gold,79.0,Other (Bulk/Bottle),23.13,7.0,Active,No,"class:precious, elements, purity:4N, size:micro",Precious metal - exclude from normal assignment
Au10.1mm_0.1g,Gold metal 99.99%,Au,Gold,79.0,10mm Cube,17.2,0.0,Active,No,"class:precious, elements, purity:4N, size:micro",Precious metal - exclude from normal assignment; Out of stock
Au10.1mm_1g,Gold metal 99.99%,Au,Gold,79.0,10mm Cube,172.0,4.0,Active,No,"class:precious, elements, purity:4N, size:micro",Precious metal - exclude from normal assignment
Au1g_bot,Gold metal 99.99%,Au,Gold,79.0,Other (Bulk/Bottle),231.13,5.0,Active,No,"class:precious, elements, purity:4N, size:micro",Precious metal - exclude from normal assignment
Sr1g_bot,Strontium metal 99.9%,Sr,Strontium,38.0,Other (Bulk/Bottle),6.2,12.0,Active,Yes,"class:reactive, elements, purity:3N, size:micro",
Sr7x25mm,Strontium metal 99.9%,Sr,Strontium,38.0,Other,14.0,0.0,Active,No,"class:reactive, elements, purity:3N, size:micro",Out of stock
Sr_FBB,Strontium metal 99.9%,Sr,Strontium,38.0,Other,25.0,21.0,Active,Yes,"class:reactive, elements, purity:3N, size:micro",
Sr10g,Strontium metal 99.9%,Sr,Strontium,38.0,Other (Bulk/Bottle),7.0,0.0,Active,No,"class:reactive, elements, purity:3N, size:micro",Out of stock
Sr100g,Strontium metal 99.9%,Sr,Strontium,38.0,Other (Bulk/Bottle),45.0,7.0,Active,Yes,"class:reactive, elements, purity:3N, size:micro",
Sr1k,Strontium metal 99.9%,Sr,Strontium,38.0,Other (Bulk),325.0,0.0,Active,No,"class:reactive, elements, purity:3N, size:micro",Out of stock
Sm1g_bot,Samarium metal 99.9%,Sm,Samarium,62.0,Other (Bulk/Bottle),6.0,0.0,Draft,No,"class:exotic, purity:3N, size:micro",Out of stock; Draft
Sm10g,Samarium metal 99.9%,Sm,Samarium,62.0,Other (Bulk/Bottle),16.5,0.0,Draft,No,"class:exotic, purity:3N, size:micro",Out of stock; Draft
Sm100g,Samarium metal 99.9%,Sm,Samarium,62.0,Other (Bulk/Bottle),40.0,0.0,Draft,No,"class:exotic, purity:3N, size:micro",Out of stock; Draft
W1g_bot,Tungsten metal 99.95%,W,Tungsten,74.0,Other (Bulk/Bottle),4.4,2.0,Active,Yes,"class:mid, elements, purity:3N, size:micro",
W10g,Tungsten metal 99.95%,W,Tungsten,74.0,Other (Bulk/Bottle),7.75,-1.0,Active,No,"class:mid, elements, purity:3N, size:micro",Out of stock
W100g,Tungsten metal 99.95%,W,Tungsten,74.0,Other (Bulk/Bottle),65.0,6.0,Active,Yes,"class:mid, elements, purity:3N, size:micro",
W1k,Tungsten metal 99.95%,W,Tungsten,74.0,Other (Bulk),625.0,5.0,Active,Yes,"class:mid, elements, purity:3N, size:micro",
Lu1g_bot,Lutetium metal 99.9%,Lu,Lutetium,71.0,Other (Bulk/Bottle),10.0,0.0,Active,No,"class:exotic, elements, purity:3N, size:micro",Out of stock
Lu10g,Lutetium metal 99.9%,Lu,Lutetium,71.0,Other (Bulk/Bottle),38.0,0.0,Active,No,"class:exotic, elements, purity:3N, size:micro",Out of stock
Lu100g,Lutetium metal 99.9%,Lu,Lutetium,71.0,Other (Bulk/Bottle),360.0,0.0,Active,No,"class:exotic, elements, purity:3N, size:micro",Out of stock
Lu1k,Lutetium metal 99.9%,Lu,Lutetium,71.0,Other (Bulk),3450.0,0.0,Active,No,"class:exotic, elements, purity:3N, size:micro",Out of stock
Rh0.1g_bot,Rhodium metal 99.9%,Rh,Rhodium,45.0,Other (Bulk/Bottle),123.2,0.0,Active,No,"class:precious, elements, purity:3N, size:micro",Precious metal - exclude from normal assignment; Out of stock
Ag1g_bot,Silver metal 99.9%,Ag,Silver,47.0,Other (Bulk/Bottle),4.5,0.0,Active,No,"class:precious, elements, purity:3N, size:micro",Out of stock
Ag10g,Silver metal 99.9%,Ag,Silver,47.0,Other (Bulk/Bottle),35.1,15.0,Active,Yes,"class:precious, elements, purity:3N, size:micro",
Ag100g,Silver metal 99.9%,Ag,Silver,47.0,Other (Bulk/Bottle),279.45,0.0,Active,No,"class:precious, elements, purity:3N, size:micro",Out of stock
Pt0.1g_bot,Platinum metal 99.95%,Pt,Platinum,78.0,Other (Bulk/Bottle),8.0,3.0,Active,No,"class:precious, elements, purity:3N, size:small",Precious metal - exclude from normal assignment
Pt10.1mm_0.1g,Platinum metal 99.95%,Pt,Platinum,78.0,Other (Bulk/Bottle),8.0,4.0,Active,No,"class:precious, elements, purity:3N, size:small",Precious metal - exclude from normal assignment
Pt10.1mm_1g,Platinum metal 99.95%,Pt,Platinum,78.0,Other (Bulk/Bottle),79.93,4.0,Active,No,"class:precious, elements, purity:3N, size:small",Precious metal - exclude from normal assignment
Dy1g_bot,Dysprosium metal 99.9%,Dy,Dysprosium,66.0,Other (Bulk/Bottle),6.0,0.0,Active,No,"class:exotic, elements, purity:3N, size:micro",Out of stock
Dy10g,Dysprosium metal 99.9%,Dy,Dysprosium,66.0,Other (Bulk/Bottle),40.0,0.0,Active,No,"class:exotic, elements, purity:3N, size:micro",Out of stock
Dy100g,Dysprosium metal 99.9%,Dy,Dysprosium,66.0,Other (Bulk/Bottle),220.0,0.0,Active,No,"class:exotic, elements, purity:3N, size:micro",Out of stock
Dy1k,Dysprosium metal 99.9%,Dy,Dysprosium,66.0,Other (Bulk),2000.0,0.0,Active,No,"class:exotic, elements, purity:3N, size:micro",Out of stock
Fe1g_bot,Iron metal 99.95%,Fe,Iron,26.0,Other (Bulk/Bottle),2.25,0.0,Active,No,"class:common, elements, purity:3N, size:micro",Out of stock
Fe10g,Iron metal 99.95%,Fe,Iron,26.0,Other (Bulk/Bottle),5.0,22.0,Active,Yes,"class:common, elements, purity:3N, size:micro",
Fe100g_sph,Iron metal 99.95%,Fe,Iron,26.0,Other (Bulk/Bottle),10.5,0.0,Active,No,"class:common, elements, purity:3N, size:micro",Out of stock
Fe100g,Iron metal 99.95%,Fe,Iron,26.0,Other (Bulk/Bottle),13.0,0.0,Active,No,"class:common, elements, purity:3N, size:micro",Out of stock
Fe1k_sph,Iron metal 99.95%,Fe,Iron,26.0,Other (Bulk),50.0,0.0,Active,No,"class:common, elements, purity:3N, size:micro",Out of stock
Fe1k_ano,Iron metal 99.95%,Fe,Iron,26.0,Other (Bulk),92.0,0.0,Active,No,"class:common, elements, purity:3N, size:micro",Out of stock
FE10g_sph,Iron metal 99.95%,Fe,Iron,26.0,Other (Bulk/Bottle),3.5,0.0,Active,No,"class:common, elements, purity:3N, size:micro",Out of stock
Ga1g_bot,Gallium metal 99.99%,Ga,Gallium,31.0,Other (Bulk/Bottle),6.5,9.0,Active,Yes,"class:mid, elements, out-of-stock, purity:4N, size:micro",
Ga10g,Gallium metal 99.99%,Ga,Gallium,31.0,Other (Bulk/Bottle),32.9,29.0,Active,Yes,"class:mid, elements, out-of-stock, purity:4N, size:micro",
Ga20g,Gallium metal 99.99%,Ga,Gallium,31.0,Other,65.8,0.0,Active,No,"class:mid, elements, out-of-stock, purity:4N, size:micro",Out of stock
Ga50g,Gallium metal 99.99%,Ga,Gallium,31.0,Other,164.5,33.0,Active,Yes,"class:mid, elements, out-of-stock, purity:4N, size:micro",
Ga1k,Gallium metal 99.99%,Ga,Gallium,31.0,Other (Bulk),3510.0,0.0,Active,No,"class:mid, elements, out-of-stock, purity:4N, size:micro",Out of stock
Ce1g_bot,Cerium metal 99.5%,Ce,Cerium,58.0,Other (Bulk/Bottle),3.0,0.0,Active,No,"class:exotic, elements, purity:none, size:small",Out of stock
Ce7x25mm,Cerium metal 99.5%,Ce,Cerium,58.0,Other,12.5,29.0,Active,Yes,"class:exotic, elements, purity:none, size:small",
Ce_FBB,Cerium metal 99.5%,Ce,Cerium,58.0,Other,20.0,21.0,Active,Yes,"class:exotic, elements, purity:none, size:small",
Ce10g,Cerium metal 99.5%,Ce,Cerium,58.0,Other (Bulk/Bottle),5.0,0.0,Active,No,"class:exotic, elements, purity:none, size:small",Out of stock
Ce100g,Cerium metal 99.5%,Ce,Cerium,58.0,Other (Bulk/Bottle),19.0,0.0,Active,No,"class:exotic, elements, purity:none, size:small",Out of stock
Ce1k,Cerium metal 99.5%,Ce,Cerium,58.0,Other (Bulk),100.0,0.0,Active,No,"class:exotic, elements, purity:none, size:small",Out of stock
Sb1g_bot,Antimony 99.99% polycrystalline,Sb,Antimony,51.0,Other (Sample),6.5,17.0,Active,Yes,"class:mid, elements, form:crystal, purity:4N, size:micro",
Sb10g,Antimony 99.99% polycrystalline,Sb,Antimony,51.0,Other (Sample),15.0,9.0,Active,Yes,"class:mid, elements, form:crystal, purity:4N, size:micro",
Sb100g,Antimony 99.99% polycrystalline,Sb,Antimony,51.0,Other (Sample),54.0,5.0,Active,Yes,"class:mid, elements, form:crystal, purity:4N, size:micro",
Sb1kg,Antimony 99.99% polycrystalline,Sb,Antimony,51.0,Other (Sample),210.0,0.0,Active,No,"class:mid, elements, form:crystal, purity:4N, size:micro",Out of stock
As1g_bot,Arsenic 99.9999% crystalline,As,Arsenic,33.0,Other (Sample),6.25,0.0,Active,No,"class:mid, elements, form:crystal, purity:6N, size:micro",Out of stock
As_FBB,Arsenic 99.9999% crystalline,As,Arsenic,33.0,Other (Sample),25.0,5.0,Active,Yes,"class:mid, elements, form:crystal, purity:6N, size:micro",
Ba1g_bot,Barium metal 99.9%,Ba,Barium,56.0,Other (Bar/Ingot),4.0,0.0,Active,No,"class:reactive, elements, purity:3N, size:micro",Out of stock
Ba7x25mm,Barium metal 99.9%,Ba,Barium,56.0,Other (Bar/Ingot),12.5,9.0,Active,Yes,"class:reactive, elements, purity:3N, size:micro",
Ba_FBB,Barium metal 99.9%,Ba,Barium,56.0,Other (Bar/Ingot),18.0,0.0,Active,No,"class:reactive, elements, purity:3N, size:micro",Out of stock
Ba10g,Barium metal 99.9%,Ba,Barium,56.0,Other (Bar/Ingot),5.75,0.0,Active,No,"class:reactive, elements, purity:3N, size:micro",Out of stock
Ba100g,Barium metal 99.9%,Ba,Barium,56.0,Other (Bar/Ingot),55.0,0.0,Active,No,"class:reactive, elements, purity:3N, size:micro",Out of stock
Be1g_bot,Beryllium metal 99.5%,Be,Beryllium,4.0,Other (Bulk/Bottle),14.0,9.0,Active,Yes,"class:mid, elements, purity:none, size:micro",
Be10g,Beryllium metal 99.5%,Be,Beryllium,4.0,Other (Bulk/Bottle),55.0,4.0,Active,Yes,"class:mid, elements, purity:none, size:micro",
Be100g,Beryllium metal 99.5%,Be,Beryllium,4.0,Other (Bulk/Bottle),525.0,0.0,Active,No,"class:mid, elements, purity:none, size:micro",Out of stock
Ir0.1g_bot,Iridium metal 99.95%,Ir,Iridium,77.0,Other (Bulk/Bottle),79.0,0.0,Active,No,"class:precious, elements, purity:3N, size:micro",Precious metal - exclude from normal assignment; Out of stock
Ir10.1mm_0.1g,Iridium metal 99.95%,Ir,Iridium,77.0,10mm Cube,46.15,0.0,Active,No,"class:precious, elements, purity:3N, size:micro",Precious metal - exclude from normal assignment; Out of stock
Ir10.1mm_1g,Iridium metal 99.95%,Ir,Iridium,77.0,10mm Cube,290.0,0.0,Active,No,"class:precious, elements, purity:3N, size:micro",Precious metal - exclude from normal assignment; Out of stock
Mn1g_bot,Manganese metal 99.7%,Mn,Manganese,25.0,Other (Bulk/Bottle),4.5,3.0,Active,Yes,"class:mid, elements, purity:none, size:micro",
Mn10g,Manganese metal 99.7%,Mn,Manganese,25.0,Other (Bulk/Bottle),26.25,2.0,Active,Yes,"class:mid, elements, purity:none, size:micro",
Mn100g,Manganese metal 99.7%,Mn,Manganese,25.0,Other (Bulk/Bottle),235.65,6.0,Active,Yes,"class:mid, elements, purity:none, size:micro",
Mn1k,Manganese metal 99.7%,Mn,Manganese,25.0,Other (Bulk),2200.0,1.0,Active,Yes,"class:mid, elements, purity:none, size:micro",
Ni_coin,Nickel metal 99.9% coin,Ni,Nickel,28.0,Other (Coin/Round),2.0,0.0,Active,No,"class:mid, elements, form:coin, purity:3N, size:micro",Out of stock
Ni_10coins_CIRC,Nickel metal 99.9% coin,Ni,Nickel,28.0,Other (Coin/Round),5.0,0.0,Active,No,"class:mid, elements, form:coin, purity:3N, size:micro",Out of stock
Ni_10coins_NEW,Nickel metal 99.9% coin,Ni,Nickel,28.0,Other (Coin/Round),15.0,0.0,Active,No,"class:mid, elements, form:coin, purity:3N, size:micro",Out of stock
La1g_bot,Lanthanum metal 99.5%,La,Lanthanum,57.0,Other (Bulk/Bottle),4.0,0.0,Active,No,"class:exotic, elements, purity:none, size:small",Out of stock
La7x25mm,Lanthanum metal 99.5%,La,Lanthanum,57.0,Other,12.5,0.0,Active,No,"class:exotic, elements, purity:none, size:small",Out of stock
La_FBB,Lanthanum metal 99.5%,La,Lanthanum,57.0,Other,20.0,3.0,Active,Yes,"class:exotic, elements, purity:none, size:small",
La10g,Lanthanum metal 99.5%,La,Lanthanum,57.0,Other (Bulk/Bottle),7.5,0.0,Active,No,"class:exotic, elements, purity:none, size:small",Out of stock
La100g,Lanthanum metal 99.5%,La,Lanthanum,57.0,Other (Bulk/Bottle),25.0,0.0,Active,No,"class:exotic, elements, purity:none, size:small",Out of stock
La1k,Lanthanum metal 99.5%,La,Lanthanum,57.0,Other (Bulk),210.0,0.0,Active,No,"class:exotic, elements, purity:none, size:small",Out of stock
Sc1g_bottle,Scandium metal 99.9%,Sc,Scandium,21.0,Other (Bulk/Bottle),14.0,15.0,Archived,No,"class:mid, purity:3N, size:micro",Archived
Sc_10g,Scandium metal 99.9%,Sc,Scandium,21.0,Other (Bulk/Bottle),84.0,15.0,Archived,No,"class:mid, purity:3N, size:micro",Archived
Sc_100g,Scandium metal 99.9%,Sc,Scandium,21.0,Other (Bulk/Bottle),790.0,0.0,Archived,No,"class:mid, purity:3N, size:micro",Out of stock; Archived
Sc1k,Scandium metal 99.9%,Sc,Scandium,21.0,Other (Bulk),7800.0,0.0,Archived,No,"class:mid, purity:3N, size:micro",Out of stock; Archived
Ta1g_bot,Tantalum metal 99.95%,Ta,Tantalum,73.0,Other (Bulk/Bottle),4.4,0.0,Active,No,"class:mid, elements, purity:3N, size:micro",Out of stock
Ta10g,Tantalum metal 99.95%,Ta,Tantalum,73.0,Other (Bulk/Bottle),23.75,7.0,Active,Yes,"class:mid, elements, purity:3N, size:micro",
Ta100g,Tantalum metal 99.95%,Ta,Tantalum,73.0,Other (Bulk/Bottle),199.95,5.0,Active,Yes,"class:mid, elements, purity:3N, size:micro",
Ta1k,Tantalum metal 99.95%,Ta,Tantalum,73.0,Other (Bulk),1781.5,1.0,Active,Yes,"class:mid, elements, purity:3N, size:micro",
U1g_bot,Uranium metal 99.9% depleted U238,U,Uranium,92.0,Other (Bulk/Bottle),35.0,0.0,Active,No,"class:exotic, elements, purity:3N, size:standard",Out of stock
U2g_amp,Uranium metal 99.9% depleted U238,U,Uranium,92.0,Ampoule,65.0,0.0,Active,No,"class:exotic, elements, purity:3N, size:standard",Out of stock
U5g_amp,Uranium metal 99.9% depleted U238,U,Uranium,92.0,Ampoule,165.0,0.0,Active,No,"class:exotic, elements, purity:3N, size:standard",Out of stock
U10g_amp,Uranium metal 99.9% depleted U238,U,Uranium,92.0,Ampoule,315.0,0.0,Active,No,"class:exotic, elements, purity:3N, size:standard",Out of stock
U3.64g_amp,Uranium metal 99.9% depleted U238,U,Uranium,92.0,Ampoule,98.0,0.0,Active,No,"class:exotic, elements, purity:3N, size:standard",Out of stock
U7.11g_amp,Uranium metal 99.9% depleted U238,U,Uranium,92.0,Ampoule,180.0,0.0,Active,No,"class:exotic, elements, purity:3N, size:standard",Out of stock
U7.69g_amp,Uranium metal 99.9% depleted U238,U,Uranium,92.0,Ampoule,195.0,0.0,Active,No,"class:exotic, elements, purity:3N, size:standard",Out of stock
U8.08g_amp,Uranium metal 99.9% depleted U238,U,Uranium,92.0,Ampoule,203.0,0.0,Active,No,"class:exotic, elements, purity:3N, size:standard",Out of stock
U8.96g_amp,Uranium metal 99.9% depleted U238,U,Uranium,92.0,Ampoule,225.0,0.0,Active,No,"class:exotic, elements, purity:3N, size:standard",Out of stock
U9.08g_amp,Uranium metal 99.9% depleted U238,U,Uranium,92.0,Ampoule,228.0,0.0,Active,No,"class:exotic, elements, purity:3N, size:standard",Out of stock
U9.65g_amp,Uranium metal 99.9% depleted U238,U,Uranium,92.0,Ampoule,244.0,0.0,Active,No,"class:exotic, elements, purity:3N, size:standard",Out of stock
U12.52g_amp,Uranium metal 99.9% depleted U238,U,Uranium,92.0,Ampoule,350.0,0.0,Active,No,"class:exotic, elements, purity:3N, size:standard",Out of stock
U13.69g_amp,Uranium metal 99.9% depleted U238,U,Uranium,92.0,Ampoule,344.0,0.0,Active,No,"class:exotic, elements, purity:3N, size:standard",Out of stock
U15.59g_amp,Uranium metal 99.9% depleted U238,U,Uranium,92.0,Ampoule,389.0,1.0,Active,Yes,"class:exotic, elements, purity:3N, size:standard",
U15.85g_amp,Uranium metal 99.9% depleted U238,U,Uranium,92.0,Ampoule,391.0,1.0,Active,Yes,"class:exotic, elements, purity:3N, size:standard",
U20.06g_amp,Uranium metal 99.9% depleted U238,U,Uranium,92.0,Ampoule,492.0,1.0,Active,Yes,"class:exotic, elements, purity:3N, size:standard",
U20.73g_amp,Uranium metal 99.9% depleted U238,U,Uranium,92.0,Ampoule,508.0,1.0,Active,Yes,"class:exotic, elements, purity:3N, size:standard",
U25.24g_amp,Uranium metal 99.9% depleted U238,U,Uranium,92.0,Ampoule,514.0,1.0,Active,Yes,"class:exotic, elements, purity:3N, size:standard",
U30.82g_amp,Uranium metal 99.9% depleted U238,U,Uranium,92.0,Ampoule,626.0,1.0,Active,Yes,"class:exotic, elements, purity:3N, size:standard",
