"ID","Handle","Command","Title","Tags","Tags Command","Status","URL","Total Inventory Qty","Variant ID","Variant SKU","Variant Inventory Qty"
"10566112870565","ytterbium-metal-cube-99-9","MERGE","Ytterbium Metal Cube 99.9%","class:exotic, form:cube, purity:3N, size:micro","REPLACE","Active","https://luciteria.com/products/ytterbium-metal-cube-99-9","94","47820946145445","Yb50mm","10"
"10566112968869","dysprosium-metal-cube-99-5","MERGE","Dysprosium Metal Cube 99.5%","class:exotic, form:cube, purity:none, size:micro","REPLACE","Active","https://luciteria.com/products/dysprosium-metal-cube-99-5","215","47820940247205","Dy10.1mm","154"
"10566112968869","dysprosium-metal-cube-99-5","MERGE","Dysprosium Metal Cube 99.5%","class:exotic, form:cube, purity:none, size:micro","REPLACE","Active","https://luciteria.com/products/dysprosium-metal-cube-99-5","215","47820940279973","Dy10mm","53"
"10566112968869","dysprosium-metal-cube-99-5","MERGE","Dysprosium Metal Cube 99.5%","class:exotic, form:cube, purity:none, size:micro","REPLACE","Active","https://luciteria.com/products/dysprosium-metal-cube-99-5","215","47820940312741","Dy25.4mm","8"
"10566113067173","holmium-metal-cube-99-9","MERGE","Holmium Metal Cube 99.9%","class:exotic, form:cube, purity:3N, size:micro","REPLACE","Active","https://luciteria.com/products/holmium-metal-cube-99-9","119","47820941394085","Ho10.1mm","0"
"10566113067173","holmium-metal-cube-99-9","MERGE","Holmium Metal Cube 99.9%","class:exotic, form:cube, purity:3N, size:micro","REPLACE","Active","https://luciteria.com/products/holmium-metal-cube-99-9","119","47820941426853","Ho10mm","102"
"10566113067173","holmium-metal-cube-99-9","MERGE","Holmium Metal Cube 99.9%","class:exotic, form:cube, purity:3N, size:micro","REPLACE","Active","https://luciteria.com/products/holmium-metal-cube-99-9","119","47820941459621","Ho25.4mm","17"
"10566113132709","silver-metal-cube-99-9","MERGE","Silver Metal Cube 99.9%","class:precious, form:cube, purity:3N, size:standard","REPLACE","Active","https://luciteria.com/products/silver-metal-cube-99-9","80","47820858949797","Ag10.1mm","10"
"10566113132709","silver-metal-cube-99-9","MERGE","Silver Metal Cube 99.9%","class:precious, form:cube, purity:3N, size:standard","REPLACE","Active","https://luciteria.com/products/silver-metal-cube-99-9","80","47820858982565","Ag10mm","65"
"10566113132709","silver-metal-cube-99-9","MERGE","Silver Metal Cube 99.9%","class:precious, form:cube, purity:3N, size:standard","REPLACE","Active","https://luciteria.com/products/silver-metal-cube-99-9","80","47820859015333","Ag25.4mm","5"
